LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
MAC000002,Std,2012-10-14 11:30:00.0000000, 0.667 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 12:00:00.0000000, 0.23 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 12:30:00.0000000, 0.22 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 13:00:00.0000000, 0.163 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 13:30:00.0000000, 0.091 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 14:00:00.0000000, 0.17 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 14:30:00.0000000, 0.11 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 15:00:00.0000000, 0.11 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 15:30:00.0000000, 0.121 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 16:00:00.0000000, 0.099 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 16:30:00.0000000, 0.157 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 17:00:00.0000000, 0.093 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 17:30:00.0000000, 0.371 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 18:00:00.0000000, 0.386 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 18:30:00.0000000, 1.085 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 19:00:00.0000000, 1.075 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 19:30:00.0000000, 0.956 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 20:00:00.0000000, 0.821 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 20:30:00.0000000, 0.745 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 21:00:00.0000000, 0.712 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 21:30:00.0000000, 0.511 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 22:00:00.0000000, 0.231 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 22:30:00.0000000, 0.21 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 23:00:00.0000000, 0.278 ,ACORN-A,Affluent
MAC000002,Std,2012-10-14 23:30:00.0000000, 0.159 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 00:00:00.0000000, 0.192 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 00:30:00.0000000, 0.097 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 01:00:00.0000000, 0.141 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 01:30:00.0000000, 0.083 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 02:00:00.0000000, 0.132 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 02:30:00.0000000, 0.07 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 03:00:00.0000000, 0.13 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 03:30:00.0000000, 0.074 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 04:00:00.0000000, 0.124 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 04:30:00.0000000, 0.078 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 05:00:00.0000000, 0.118 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 05:30:00.0000000, 0.082 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 06:00:00.0000000, 0.112 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 06:30:00.0000000, 0.087 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 07:00:00.0000000, 0.106 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 07:30:00.0000000, 0.14 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 08:00:00.0000000, 0.12 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 08:30:00.0000000, 1.075 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 09:00:00.0000000, 0.146 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 09:30:00.0000000, 0.123 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 10:00:00.0000000, 0.082 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 10:30:00.0000000, 0.127 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 11:00:00.0000000, 0.077 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 11:30:00.0000000, 0.551 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 12:00:00.0000000, 0.149 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 12:30:00.0000000, 0.129 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 13:00:00.0000000, 0.075 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 13:30:00.0000000, 0.13 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 14:00:00.0000000, 0.075 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 14:30:00.0000000, 0.129 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 15:00:00.0000000, 0.075 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 15:30:00.0000000, 0.128 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 16:00:00.0000000, 0.166 ,ACORN-A,Affluent
MAC000002,Std,2012-10-15 16:30:00.0000000, 0.194 ,ACORN-A,Affluent
